(7, 127, 1565),
(22, 84, 1693),
(11, 61, 1171),
(2, 54, 1376),
(30, 75, 488),
(17, 89, 1462),
(26, 105, 1660),
(1, 94, 1078),
(22, 88, 330),
(17, 60, 1218),
(4, 91, 433),
(1, 143, 1285),
(6, 64, 350),
(22, 146, 989),
(1, 57, 1575),
(9, 136, 1537),
(18, 133, 1706),
(10, 141, 1108),
(22, 150, 1438),
(29, 87, 810),
(11, 102, 1720),
(10, 88, 314),
(14, 128, 814),
(15, 143, 284),
(18, 84, 1299),
(7, 83, 514),
(22, 100, 1118),
(26, 96, 881),
(20, 105, 940),
(13, 120, 371),
(29, 135, 388),
(13, 55, 429),
(23, 117, 121),
(5, 61, 734),
(15, 143, 234),
(21, 93, 588),
(23, 104, 931),
(2, 105, 1037),
(10, 83, 512),
(25, 98, 169),
(25, 79, 811),
(29, 125, 1358),
(16, 103, 1257),
(21, 67, 1258),
(30, 105, 314),
(15, 134, 1059),
(3, 119, 384),
(20, 119, 671),
(29, 148, 1487),
(2, 123, 1358),
(10, 86, 634),
(15, 58, 1358),
(18, 110, 304),
(25, 127, 809),
(30, 87, 182),
(24, 108, 1351),
(22, 140, 1194),
(4, 141, 1313),
(28, 61, 1353),
(13, 149, 904),
(7, 142, 946),
(4, 60, 858),
(17, 102, 1127),
(23, 136, 353),
(15, 132, 1061),
(1, 86, 1643),
(5, 105, 126),
(20, 109, 1058),
(19, 67, 1661),
(4, 104, 1228);
